iter	Logloss
0	0.6749640434
1	0.6600141582
2	0.6470884448
3	0.6343724478
4	0.6221446954
5	0.612450232
6	0.603935576
7	0.5957675178
8	0.5883053581
9	0.5821643429
10	0.5740952172
11	0.568589722
12	0.5633877176
13	0.5584288489
14	0.5529390251
15	0.5484460531
16	0.5433424576
17	0.5395507565
18	0.5353318915
19	0.5322051461
20	0.5291262654
21	0.5254276148
22	0.5221364681
23	0.5198015308
24	0.5168789671
25	0.5148170249
26	0.5120959025
27	0.5097740414
28	0.507362046
29	0.5056557807
30	0.5041036246
31	0.5027351283
32	0.5008789436
33	0.4996893791
34	0.4985932173
35	0.497244107
36	0.4959415304
37	0.4943270697
38	0.4932691634
39	0.4924409232
40	0.4913461995
41	0.4903354504
42	0.4896041173
43	0.4888154555
44	0.4878588316
45	0.4871702111
46	0.4865070418
47	0.485677097
48	0.4842709764
49	0.4832332331
50	0.4820638587
51	0.4812809178
52	0.4801689922
53	0.4792522628
54	0.4786136985
55	0.4780808417
56	0.4771794019
57	0.476443807
58	0.4756676025
59	0.4751113509
60	0.4746602927
61	0.4740650469
62	0.4733957475
63	0.4727115994
64	0.4722482823
65	0.4718667205
66	0.4715106248
67	0.4709621749
68	0.470361565
69	0.4699038277
70	0.4694422484
71	0.4690793319
72	0.4687503388
73	0.4681867171
74	0.4677723988
75	0.4673776554
76	0.4669951884
77	0.4667424928
78	0.4664684933
79	0.4660264101
80	0.4655428152
81	0.465121068
82	0.4648550282
83	0.4645669506
84	0.4639898277
85	0.4635592462
86	0.4631653402
87	0.4628442182
88	0.4626163392
89	0.4621671475
90	0.461870365
91	0.4615483723
92	0.4610967036
93	0.4606827627
94	0.4603116172
95	0.4598930322
96	0.4596304568
97	0.4593407041
98	0.4591857763
99	0.4588638354
100	0.4585057381
101	0.4582769602
102	0.4579660677
103	0.45773208
104	0.4574853215
105	0.4572244499
106	0.4568803754
107	0.4564188205
108	0.4562278889
109	0.4560939499
110	0.4557084716
111	0.4554299955
112	0.4549560973
113	0.4546327691
114	0.4544641959
115	0.4541456535
116	0.4538392424
117	0.4535982738
118	0.4533316044
119	0.4531033894
120	0.4528793715
121	0.4526563096
122	0.4522325309
123	0.4520386377
124	0.4517479984
125	0.4514777488
126	0.4512656091
127	0.4510485967
128	0.4508215757
129	0.4505980539
130	0.4503516294
131	0.4500375267
132	0.4499012015
133	0.4497222624
134	0.4494638931
135	0.4491910796
136	0.4488165765
137	0.4485991192
138	0.4483369629
139	0.44809946
140	0.4478010685
141	0.4474334486
142	0.447269055
143	0.4469398165
144	0.4466755772
145	0.4465341306
146	0.4463350513
147	0.4461883952
148	0.4460879265
149	0.4458513457
150	0.4456332698
151	0.4454091749
152	0.4452762469
153	0.4450727925
154	0.4448489
155	0.4445677931
156	0.4444112759
157	0.444204408
158	0.4440019345
159	0.4437013393
160	0.4434724803
161	0.4432003164
162	0.4430237677
163	0.442621797
164	0.442412338
165	0.4421007297
166	0.4418775508
167	0.4416778626
168	0.4415322014
169	0.4412120923
170	0.4410354715
171	0.4408555591
172	0.4407808365
173	0.4404330834
174	0.4402325825
175	0.440035466
176	0.4397851294
177	0.4396480179
178	0.4394842046
179	0.4391999274
180	0.4390654449
181	0.4389220086
182	0.4385636234
183	0.4383035574
184	0.4380611096
185	0.4379136648
186	0.4377848622
187	0.4376414352
188	0.4375636813
189	0.4374727678
190	0.4373257911
191	0.4371547719
192	0.4367679437
193	0.4365842975
194	0.4364585835
195	0.4362671401
196	0.4361040425
197	0.4359050558
198	0.4356910994
199	0.4354996438
200	0.4354034021
201	0.4351779598
202	0.4350158788
203	0.4347885966
204	0.4346083622
205	0.4345139103
206	0.4341651097
207	0.4339150848
208	0.4336977647
209	0.4335684909
210	0.4334087362
211	0.4330992385
212	0.4329633409
213	0.432762184
214	0.4326915326
215	0.4324848089
216	0.4322228436
217	0.4319607659
218	0.4317642321
219	0.4315429777
220	0.4313470086
221	0.4310329928
222	0.4307976627
223	0.430528573
224	0.4303803893
225	0.4300790149
226	0.4297834805
227	0.4296020687
228	0.4294150574
229	0.4292747768
230	0.4290645167
231	0.4289660016
232	0.4288402856
233	0.4286740914
234	0.4284990413
235	0.4283289216
236	0.428177959
237	0.4279866711
238	0.4277530216
239	0.427523651
240	0.427341499
241	0.4272142595
242	0.4270778802
243	0.42693124
244	0.4268049473
245	0.4266177155
246	0.4264819813
247	0.4264056158
248	0.4262922279
249	0.4260642954
250	0.4258919712
251	0.4257113496
252	0.4256164832
253	0.4253818266
254	0.4252666652
255	0.4251656746
256	0.4249966815
257	0.4248506357
258	0.4247551305
259	0.4246865277
260	0.4245595544
261	0.4244489672
262	0.4242480086
263	0.4241327561
264	0.4239104452
265	0.4237002844
266	0.423570512
267	0.4233253682
268	0.4232274809
269	0.4230378702
270	0.4228234322
271	0.4227229048
272	0.4226691709
273	0.4225801751
274	0.4224434615
275	0.4222786894
276	0.4221134135
277	0.4220488559
278	0.4218709581
279	0.4217218293
280	0.4215477393
281	0.4214158132
282	0.421383073
283	0.4212615027
284	0.4211302701
285	0.420904945
286	0.4206738757
287	0.4206273213
288	0.4203399241
289	0.4202018302
290	0.4200441983
291	0.4198386958
292	0.4197048149
293	0.4195169171
294	0.4193142454
295	0.4191657034
296	0.4191206271
297	0.419009802
298	0.4188035509
299	0.418668962
300	0.4184028199
301	0.4182834842
302	0.4181859258
303	0.4180912603
304	0.4180398737
305	0.4179304438
306	0.4177132206
307	0.4176590548
308	0.4175672547
309	0.4175373953
310	0.4174672163
311	0.4173367095
312	0.4171107466
313	0.4169977473
314	0.4168010857
315	0.4165611933
316	0.4164930676
317	0.4163480051
318	0.4162857466
319	0.4161477571
320	0.4159450949
321	0.4157123371
322	0.4155554073
323	0.4154519644
324	0.4153816706
325	0.4152957038
