iter	Passed	Remaining
0	115	115622
1	136	68348
2	169	56461
3	203	50628
4	239	47694
5	274	45506
6	300	42608
7	323	40133
8	352	38812
9	376	37249
10	397	35775
11	427	35183
12	450	34209
13	477	33662
14	502	32974
15	534	32845
16	575	33253
17	598	32641
18	623	32177
19	669	32817
20	695	32406
21	713	31706
22	729	30993
23	747	30397
24	762	29735
25	784	29403
26	806	29052
27	823	28577
28	845	28302
29	888	28719
30	915	28616
31	977	29574
32	1000	29325
33	1024	29111
34	1044	28807
35	1071	28697
36	1103	28712
37	1143	28961
38	1163	28672
39	1195	28698
40	1236	28921
41	1280	29216
42	1301	28972
43	1326	28821
44	1354	28754
45	1382	28667
46	1408	28559
47	1436	28480
48	1463	28407
49	1492	28350
50	1534	28548
51	1567	28584
52	1592	28458
53	1620	28390
54	1654	28426
55	1679	28304
56	1699	28120
57	1724	28000
58	1744	27820
59	1762	27604
60	1786	27504
61	1805	27309
62	1827	27179
63	1850	27059
64	1868	26878
65	1888	26722
66	1908	26581
67	1928	26436
68	1951	26335
69	1975	26251
70	2001	26182
71	2028	26149
72	2062	26191
73	2093	26190
74	2123	26194
75	2160	26262
76	2183	26168
77	2204	26055
78	2226	25960
79	2249	25873
80	2280	25874
81	2314	25908
82	2345	25911
83	2368	25828
84	2405	25894
85	2433	25857
86	2453	25751
87	2477	25678
88	2497	25560
89	2519	25471
90	2541	25386
91	2561	25280
92	2584	25206
93	2602	25083
94	2619	24950
95	2639	24851
96	2661	24773
97	2680	24671
98	2695	24532
99	2710	24390
100	2728	24289
101	2749	24210
102	2765	24087
103	2785	23993
104	2805	23917
105	2823	23811
106	2841	23717
107	2863	23652
108	2879	23540
109	2896	23433
110	2917	23365
111	2941	23320
112	2964	23267
113	2983	23190
114	3002	23108
115	3030	23090
116	3051	23027
117	3070	22949
118	3092	22896
119	3115	22849
120	3142	22828
121	3171	22827
122	3189	22743
123	3212	22693
124	3228	22602
125	3246	22517
126	3266	22455
127	3286	22386
128	3308	22338
129	3331	22297
130	3356	22266
131	3382	22240
132	3405	22196
133	3424	22132
134	3446	22084
135	3468	22032
136	3500	22047
137	3520	21987
138	3543	21947
139	3573	21948
140	3599	21926
141	3622	21885
142	3645	21845
143	3666	21793
144	3689	21753
145	3710	21701
146	3732	21660
147	3756	21623
148	3776	21571
149	3797	21520
150	3821	21486
151	3846	21459
152	3872	21438
153	3892	21386
154	3916	21351
155	3942	21329
156	3963	21279
157	3978	21203
158	3997	21144
159	4020	21107
160	4039	21050
161	4059	20999
162	4078	20944
163	4097	20885
164	4116	20831
165	4140	20802
166	4162	20760
167	4184	20721
168	4206	20686
169	4238	20691
170	4259	20650
171	4284	20624
172	4302	20567
173	4320	20511
174	4345	20486
175	4369	20456
176	4389	20410
177	4406	20349
178	4423	20290
179	4442	20237
180	4467	20215
181	4487	20168
182	4508	20126
183	4528	20081
184	4547	20035
185	4584	20065
186	4609	20041
187	4637	20030
188	4656	19983
189	4682	19963
190	4699	19906
191	4718	19859
192	4738	19813
193	4759	19773
194	4779	19731
195	4797	19681
196	4819	19646
197	4838	19597
198	4856	19546
199	4877	19510
200	4896	19463
201	4913	19411
202	4931	19361
203	4949	19311
204	4973	19285
205	4992	19244
206	5010	19196
207	5028	19146
208	5047	19103
209	5066	19058
210	5092	19043
211	5110	18996
212	5130	18955
213	5151	18919
214	5173	18890
215	5192	18848
216	5210	18802
217	5229	18759
218	5247	18712
219	5267	18675
220	5286	18632
221	5304	18587
222	5323	18548
223	5342	18506
224	5359	18461
225	5380	18427
226	5398	18384
227	5417	18344
228	5435	18301
229	5453	18258
230	5477	18235
231	5497	18197
232	5516	18159
233	5533	18114
234	5549	18066
235	5572	18040
236	5594	18011
237	5614	17976
238	5631	17932
239	5650	17893
240	5669	17855
241	5689	17819
242	5707	17779
243	5726	17743
244	5744	17701
245	5762	17662
246	5782	17627
247	5799	17585
248	5814	17536
249	5832	17498
250	5850	17458
251	5870	17425
252	5888	17385
253	5905	17345
254	5924	17309
255	5940	17265
256	5959	17228
257	5980	17199
258	5997	17160
259	6014	17118
260	6032	17080
261	6051	17045
262	6073	17018
263	6090	16979
264	6111	16950
265	6129	16914
266	6149	16882
267	6172	16859
268	6187	16813
269	6206	16779
270	6227	16751
271	6245	16715
272	6269	16695
273	6286	16657
274	6304	16620
275	6322	16584
276	6340	16548
277	6357	16512
278	6380	16488
279	6398	16453
280	6416	16418
281	6434	16383
282	6452	16348
283	6479	16334
284	6497	16299
285	6520	16277
286	6539	16246
287	6558	16214
288	6581	16191
289	6599	16157
290	6618	16125
291	6636	16090
292	6654	16057
293	6676	16033
294	6696	16003
295	6714	15968
296	6730	15931
297	6749	15898
298	6775	15886
299	6793	15852
300	6812	15820
301	6829	15785
302	6847	15750
303	6868	15724
304	6884	15687
305	6904	15658
306	6923	15629
307	6944	15603
308	6966	15579
309	6981	15539
310	6998	15505
311	7014	15468
312	7032	15434
313	7050	15404
314	7074	15383
315	7092	15351
316	7117	15335
317	7138	15309
318	7164	15295
319	7180	15258
320	7199	15227
321	7218	15198
322	7236	15167
323	7257	15141
324	7275	15110
325	7293	15078
326	7312	15048
327	7328	15014
328	7346	14983
329	7362	14948
330	7386	14929
331	7405	14900
332	7423	14868
333	7439	14835
334	7463	14815
335	7483	14788
336	7500	14756
337	7517	14724
338	7536	14694
339	7557	14670
340	7578	14646
341	7596	14614
342	7613	14583
343	7632	14554
344	7653	14530
345	7673	14504
346	7706	14502
347	7807	14627
348	7836	14618
349	7897	14667
350	7915	14636
351	7935	14608
352	7958	14587
353	7977	14557
354	7995	14526
355	8012	14494
356	8030	14463
357	8050	14436
358	8068	14406
359	8086	14376
360	8103	14343
361	8124	14319
362	8145	14293
363	8164	14265
364	8181	14234
365	8198	14202
366	8215	14170
367	8232	14138
368	8258	14122
369	8276	14093
370	8295	14063
371	8312	14032
372	8332	14006
373	8355	13985
374	8371	13952
375	8391	13925
376	8408	13895
377	8428	13869
378	8447	13840
379	8565	13975
380	8600	13973
381	8628	13959
382	8660	13951
383	8679	13923
384	8698	13895
385	8717	13866
386	8734	13835
387	8755	13810
388	8777	13786
389	8797	13759
390	8816	13732
